site_id,site_name,county,latitude,longitude,aqi,pm25,status,distance_to_taipei,distance_category
49,仁武,高雄市,22.689056,120.332631,82.0,19.0,普通,288.6030419268503,南部地區
54,左營,高雄市,22.674861,120.292917,81.0,21.0,普通,291.74064744277626,南部地區
50,鳳山,高雄市,22.628126,120.357422,84.0,25.0,普通,293.7639432541197,南部地區
56,前金,高雄市,22.63390278,120.28676111,84.0,20.0,普通,296.13811198469455,南部地區
60,潮州,屏東縣,22.523108,120.561175,59.0,14.0,普通,297.0978756523921,南部地區
71,復興,高雄市,22.608711,120.312017,89.0,24.0,普通,297.61749755107627,南部地區
51,大寮,高雄市,22.56413611,120.425311,87.0,22.0,普通,297.66087245514893,南部地區
57,前鎮,高雄市,22.6044507,120.30833356,82.0,22.0,普通,298.20430138426,南部地區
58,小港,高雄市,22.565833,120.337736,91.0,22.0,普通,300.92434288337415,南部地區
52,林園,高雄市,22.4795,120.41175,86.0,19.0,普通,306.9283294720523,南部地區
204,屏東（琉球）,屏東縣,22.35222,120.37722,73.0,21.0,普通,321.40993037199246,南部地區
313,屏東（枋山）,屏東縣,22.260899,120.651472,39.0,0.0,良好,322.18075931429684,南部地區
77,金門,金門縣,24.432133,118.312256,61.0,20.0,普通,330.79557002371916,南部地區
61,恆春,屏東縣,21.958069,120.788928,42.0,0.0,良好,351.48946334794323,南部地區
